good	好的	/ɡʊd/
redeem	赎回	/rɪˈdiːm/
refrigerators	冰箱	/rɪˈfrɪdʒəˌreɪtərz/
reigned	统治	/ˈreɪnd/
relay	接力	/ˈriːleɪ/
renamed	更名	/riːˈneɪmd/
renders	提供	/ˈrɛndərz/
reprogrammed	重新编程	/ˌriːˈproʊɡræmd/
repugnant	令人厌恶的	/rɪˈpʌɡnənt/
requisite	必要的	/ˈrɛkwɪzɪt/
resentments	怨恨	/rɪˈzɛntmənts/
retaliate	报复	/rɪˈtælieɪt/
revisiting	重新访问	/ˌriːˈvɪzɪtɪŋ/
revival	复兴	/rɪˈvaɪvəl/
richly	丰富地	/ˈrɪtʃli/
ridiculed	嘲笑	/ˈrɪdɪˌkjuld/
roller	滚筒	/ˈroʊlər/
rub	擦	/rʌb/
rumble	隆隆声	/ˈrʌmbəl/
saddest	最悲伤的	/ˈsædɪst/
sandy	沙的	/ˈsændi/
scanned	扫描	/skænd/
scold	责骂	/skoʊld/
scorn	蔑视	/skɔːrn/
scrambling	争夺	/ˈskræmblɪŋ/
sebastian	塞巴斯蒂安	/səˈbæstiən/
seductive	诱人的	/sɪˈdʌktɪv/
sentinel	哨兵	/ˈsɛntənl/
sewn	缝制	/səʊn/
shamelessly	无耻地	/ˈʃeɪmləsli/
shielded	保护	/ˈʃiːldɪd/
shipment	装运	/ˈʃɪpmənt/
shrine	神社	/ʃraɪn/
simulate	模拟	/ˈsɪmjəˌleɪt/
singlehandedly	单枪匹马	/ˌsɪŋɡəlˈhændɪdli/
sings	唱	/sɪŋz/
sinners	罪人	/ˈsɪnərz/
sixtyfive	六十五	/ˈsɪkstiˌfaɪv/
sixtytwo	六十二	/ˈsɪkstiˌtuː/
slick	光滑的	/slɪk/
sloan	斯隆	/sloʊn/
sloping	倾斜	/ˈsloʊpɪŋ/
smugly	自鸣得意地	/ˈsmʌɡli/
sniff	嗅	/snɪf/
sorely	非常	/ˈsɔːrli/
spanning	跨越	/ˈspænɪŋ/
spikes	尖刺	/spaɪks/
spines	脊椎	/spaɪnz/
spoil	宠坏	/spɔɪl/
sprinkled	撒	/ˈsprɪŋkəld/
stables	马厩	/ˈsteɪbəlz/
stagnation	停滞	/stæɡˈneɪʃən/
stationary	静止的	/ˈsteɪʃəˌnɛri/
steering	转向	/ˈstɪrɪŋ/
stinging	刺痛	/ˈstɪŋɪŋ/
straighten	使变直	/ˈstreɪtn/
strand	股	/strænd/
subjugation	征服	/səbˈdʒeɪʃən/
subtlety	微妙	/ˈsʌtlti/
succumbing	屈服	/səˈkʌmɪŋ/
sullivan	沙利文	/ˈsʌlɪvən/
swell	膨胀	/swɛl/
syndrome	综合症	/ˈsɪndroʊm/
synonymous	同义的	/sɪˈnɑnəməs/
tainted	被污染的	/ˈteɪntɪd/
teased	戏弄	/tizd/
temptations	诱惑	/tɛmpˈteɪʃənz/
tenacity	坚韧	/təˈnæsəti/
tents	帐篷	/tɛnts/
theatres	剧院	/ˈθiətərz/
therapeutic	治疗的	/ˌθɛrəˈpjuːtɪk/
thereof	其中	/ˌðɛrˈɔv/
thriving	繁荣	/ˈθraɪvɪŋ/
timeconsuming	耗时的	/ˈtaɪm.kənˌsumɪŋ/
timidly	胆怯地	/ˈtɪmɪdli/
tiring	令人疲劳的	/ˈtaɪrɪŋ/
trails	小径	/treɪlz/
transgression	违反	/trænzˈɡrɛʃən/
trappings	装饰	/ˈtræpɪŋz/
deter	阻止	/dɪˈtɜr/
devotees	热衷者	/dɪˈvoʊtiz/
diametrically	截然相反地	/ˌdaɪəˈmɛtrɪkli/
dichotomy	二分法	/daɪˈkɑtəmi/
differentiated	区分	/ˌdɪfəˈrɛnʃieɪtɪd/
directs	指导	/dɪˈrɛkts/
discernible	可辨别的	/dɪˈsɜrnəbl/
disclosure	披露	/dɪsˈkloʊʒər/
discord	不和	/ˈdɪskɔrd/
discourage	阻止	/dɪsˈkɜrɪdʒ/
doings	行为	/ˈduɪŋz/
dominating	主导	/ˈdɑmɪˌneɪtɪŋ/
donated	捐赠	/ˈdoʊˌneɪtɪd/
donors	捐赠者	/ˈdoʊnərz/
dormitory	宿舍	/ˈdɔrməˌtɔri/
doubting	怀疑	/ˈdaʊtɪŋ/
dwindling	减少	/ˈdwɪndlɪŋ/
eerie	怪异的	/ˈɪri/
efficacy	功效	/ˈɛfɪkəsi/
electoral	选举的	/ɪˈlɛktərəl/
elevate	提升	/ˈɛləˌveɪt/
eliot	艾略特	/ˈɛliət/
emitted	发射	/ɪˈmɪtɪd/
encapsulated	封装	/ɪnˈkæpsəˌleɪtɪd/
越南#行为#坎贝尔#历史#参与者#国王#维度#啤酒#尖叫#直接#保证#本杰明#实验室#麻省理工学院#估计#多样#规范#笼子#检测#演示#自传#团结#隐私#秘书#存储#中级#间隔#采纳#香蕉#征收#喇叭#定时#连贯#密集#父母的#复杂#陈旧#老鼠#代理商#在...中#腐败#冷漠#无所谓#丰富#胜利#依赖#发现#爱因斯坦#旅行#自愿
md	医生	/ˌɛmˈdiː/
brotherinlaw	姐夫	/ˈbrʌðər ɪn lɔː/
endures	忍受	/ɪnˈdjʊr/
ensued	随之而来	/ɪnˈsjuːd/
enveloped	包围	/ɪnˈvɛləpt/
equivocal	模棱两可	/ɪˈkwɪvəkəl/
ethereal	飘渺的	/ɪˈθɪriəl/
euphoric	欣快的	/juːˈfɔːrɪk/
everybody’s	每个人的	/ˈɛvribɑːdiz/
exaggerating	夸大	/ɪɡˈzædʒəreɪtɪŋ/
exceeding	超过	/ɪkˈsiːdɪŋ/
excluded	排除	/ɪkˈskluːdɪd/
excused	原谅	/ɪkˈskjuːzd/
experiential	经验的	/ɪkˌspɪriˈɛnʃəl/
factions	派系	/ˈfækʃənz/
faked	伪造	/feɪkt/
fanfare	喇叭声	/ˈfænfɛər/
fathom	领会	/ˈfæðəm/
fervent	热情的	/ˈfɜːrvənt/
fickle	善变的	/ˈfɪkəl/
flickering	闪烁	/ˈflɪkərɪŋ/
flowery	花哨的	/ˈflaʊəri/
fog	雾	/fɔːɡ/
folding	折叠	/ˈfoʊldɪŋ/
fondness	喜爱	/ˈfɑːndnəs/
founder’s	创始人的	/ˈfaʊndərz/
frances	弗朗西斯	/ˈfrænsɪs/
friendlier	友好的	/ˈfrɛndliər/
fruitful	多产的	/ˈfrutfl/
fullest	最充分的	/ˈfʊlɪst/
gait	步态	/ɡeɪt/
gangs	帮派	/ɡæŋz/
garrett	阁楼	/ˈɡærɪt/
gerald	杰拉德	/ˈdʒɛrəld/
glued	粘住	/ɡluːd/
gravitate	被吸引	/ˈɡrævɪteɪt/
gregorian	公历	/ɡrɪˈɡɔːriən/
grieving	悲伤	/ˈɡriːvɪŋ/
groundbreaking	开创性的	/ˈɡraʊndˌbreɪkɪŋ/
hallucinations	幻觉	/həˌluːsɪˈneɪʃənz/
hamlet	村庄	/ˈhæmlɪt/
hangs	悬挂	/hæŋz/
hearty	衷心的	/ˈhɑːrti/
heating	加热	/ˈhiːtɪŋ/
heinrich	海因里希	/ˈhaɪnˌrɪk/
helm	舵	/hɛlm/
hovered	盘旋	/ˈhʌvərd/
humiliate	羞辱	/hjuːˈmɪlieɪt/
hypnotic	催眠的	/hɪpˈnɑːtɪk/
ignite	点燃	/ɪɡˈnaɪt/
impassable	无法通过的	/ɪmˈpæsəbəl/
imperatives	命令	/ɪmˈpɛrətɪvz/
incompetent	无能力的	/ɪnˈkɑːmpɪtənt/
incontrovertible	无可辩驳的	/ˌɪnkɑːntrəˈvɜːrtəbəl/
indignity	侮辱	/ɪnˈdɪɡnəti/
inflamed	发炎的	/ɪnˈfleɪmd/
informality	非正式	/ˌɪnfɔːrˈmæləti/
infuse	灌输	/ɪnˈfjuːz/
innocuous	无害的	/ɪˈnɑːkjuəs/
insecurity	不安全	/ˌɪnsɪˈkjʊrəti/
insincere	不真诚的	/ɪnˈsɪnsɪr/
absorption	吸收	/əbˈsɔːrpʃən/
accelerating	加速	/əkˈsɛləreɪtɪŋ/
addicted	上瘾的	/əˈdɪktɪd/
adherence	遵守	/ədˈhɪrəns/
adherents	拥护者	/ədˈhɪrənts/
advertised	广告	/ˈædvərtaɪzd/
alchemist	炼金术士	/ˈælkəmɪst/
alcoholic	酒精的	/ˌælkəˈhɑːlɪk/
alerted	警觉的	/əˈlɜːrtɪd/
allied	联盟的	/əˈlaɪd/
altering	改变	/ˈɔːltərɪŋ/
altitude	高度	/ˈæltɪtjuːd/
amply	充足地	/ˈæmpli/
anecdotal	轶事	/ˌænɪkˈdoʊtl/
apocalyptic	启示的	/əˌpɑːkəˈlɪptɪk/
appease	安抚	/əˈpiːz/
apprehensive	担心的	/ˌæprɪˈhɛnsɪv/
argumentative	争论的	/ˌɑːrɡjəˈmɛntətɪv/
aspire	渴望	/əˈspaɪər/
aspiring	有抱负的	/əˈspaɪrɪŋ/
assaulted	袭击	/əˈsɔːltɪd/
associating	关联	/əˈsoʊʃieɪtɪŋ/
astounded	惊讶	/əˈstaʊndɪd/
attendant	服务员	/əˈtɛndənt/
attendants	服务员	/əˈtɛndənts/
attire	服装	/əˈtaɪər/
automate	自动化	/ˈɔːtəmeɪt/
avail	利用	/əˈveɪl/
avalanche	雪崩	/ˈævəlæntʃ/
barbarous	野蛮的	/ˈbɑːrbərəs/
beatings	殴打	/ˈbiːtɪŋz/
belligerent	好战的	/bɪˈlɪdʒərənt/
belongings	财产	/bɪˈlɔːŋɪŋz/
besieged	围攻	/bɪˈsiːdʒd/
beverage	饮料	/ˈbɛvərɪdʒ/
biblical	圣经的	/ˈbɪblɪkəl/
blatant	明目张胆的	/ˈbleɪtənt/
blot	污点	/blɑːt/
blushing	害羞的	/ˈblʌʃɪŋ/
boarding	登机	/ˈbɔːrdɪŋ/
briskly	迅速地	/ˈbrɪskli/
bristling	怒发冲冠地	/ˈbrɪslɪŋ/
buckle	扣住	/ˈbʌkl/
builder	建筑师	/ˈbɪldər/
bundled	捆绑	/ˈbʌndl̩d/
camouflage	伪装	/ˈkæməflɑːʒ/
carrier	运营商	/ˈkæriər/
cherish	珍爱	/ˈtʃerɪʃ/
chi	气	/tʃaɪ/
chipped	削尖	/tʃɪpt/
choir	合唱团	/ˈkwaɪər/
coating	涂层	/ˈkoʊtɪŋ/
cocacola	可口可乐	/ˈkoʊkəˈkoʊlə/
cockroach	蟑螂	/ˈkɑːkroʊtʃ/
cohesive	有凝聚力的	/koʊˈhiːsɪv/
coincidental	巧合的	/koʊˌɪnsɪˈdɛntəl/
collapses	崩溃	/kəˈlæpsɪz/
colossus	巨人	/kəˈlɑːsəs/
commenting	评论	/ˈkɑːmɛntɪŋ/
commons	公地	/ˈkɑːmənz/
condescending	居高临下的	/ˌkɑːndɪˈsɛndɪŋ/
confirming	确认	/kənˈfɜːrmɪŋ/
conjure	变戏法	/ˈkɑːndʒər/
constellation	星座	/ˌkɑːnstəˈleɪʃən/
contests	比赛	/ˈkɑːntɛsts/
controllable	可控制的	/kənˈtroʊləbl̩/
conveyed	传达	/kənˈveɪd/
cooperating	合作	/koʊˈɑːpəreɪtɪŋ/
counterintuitive	违反直觉的	/ˌkaʊntərɪnˈtuːɪtɪv/
coverup	掩盖	/ˈkʌvərʌp/
crews	船员	/kruːz/
crows	乌鸦	/kroʊz/
dalton	道尔顿	/ˈdɔːltən/
dancers	舞者	/ˈdænsərz/
dangerously	危险地	/ˈdeɪndʒərəsli/
deceiving	欺骗	/dɪˈsiːvɪŋ/
decreasing	减少	/dɪˈkriːsɪŋ/
delicately	精致地	/ˈdɛlɪkətli/
den	兽穴	/dɛn/
dependable	可靠的	/dɪˈpɛndəbl̩/
administering	管理	/ədˈmɪnɪstərɪŋ/
aimlessly	漫无目的地	/ˈeɪmləsli/
amplified	放大	/ˈæmplɪfaɪd/
anecdotes	轶事	/ˈænɪkdoʊts/
angular	角度的	/ˈæŋɡjələr/
appoint	任命	/əˈpɔɪnt/
artifact	人工制品	/ˈɑːrtɪfækt/
artistically	艺术地	/ɑːrˈtɪstɪkli/
assures	保证	/əˈʃʊrz/
attributing	归因	/əˈtrɪbjuːtɪŋ/
avoidable	可避免的	/əˈvɔɪdəbəl/
bait	诱饵	/beɪt/
barack	巴拉克	/bəˈræk/
battering	猛击	/ˈbætərɪŋ/
bead	珠子	/biːd/
beth	贝丝	/bɛθ/
binds	捆绑	/baɪndz/
boldly	大胆地	/ˈboʊldli/
bounce	弹跳	/baʊns/
bounced	弹跳	/baʊnst/
bounds	界限	/baʊndz/
bribery	贿赂	/ˈbraɪbəri/
bullying	欺凌	/ˈbʊliɪŋ/
bumper	保险杠	/ˈbʌmpər/
bumping	碰撞	/ˈbʌmpɪŋ/
businesspeople	商人	/ˈbɪznɪsˌpipəl/
canada’s	加拿大的	/kəˈnædəz/
capped	封顶	/kæpt/
caricature	漫画	/ˈkærɪkətʃʊr/
catastrophes	灾难	/kəˈtæstrəfiːz/
cavity	腔	/ˈkævəti/
ceilings	天花板	/ˈsilɪŋz/
cemented	巩固	/sɪˈmɛntɪd/
childbirth	分娩	/ˈtʃaɪldbɜːrθ/
chord	弦	/kɔːrd/
civic	市政的	/ˈsɪvɪk/
cleanse	净化	/klɛnz/
clutch	离合器	/klʌtʃ/
clutches	离合器	/klʌtʃɪz/
comeback	回归	/ˈkʌmbæk/
compilation	编译	/ˌkɑːmpɪˈleɪʃən/
comprise	包括	/kəmˈpraɪz/
conceptual	概念的	/kənˈsɛptʃuəl/
conductor	导体	/kənˈdʌktər/
consequent	随之而来的	/ˈkɑːnsɪkwənt/
consigned	委托	/kənˈsaɪnd/
contend	竞争	/kənˈtɛnd/
contributor	贡献者	/kənˈtrɪbjətər/
conversational	会话的	/ˌkɑːnvərˈseɪʃənəl/
costing	成本	/ˈkɔːstɪŋ/
counteract	抵消	/ˌkaʊntərˈækt/
covet	垂涎	/ˈkʌvɪt/
creepy	毛骨悚然的	/ˈkriːpi/
crisp	脆	/krɪsp/
customers’	顾客的	/ˈkʌstəmərz/
cylinder	圆柱体	/ˈsɪlɪndər/
declines	下降	/dɪˈklaɪnz/
deflect	偏转	/dɪˈflɛkt/
degrading	降解	/dɪˈɡreɪdɪŋ/
dejected	沮丧的	/dɪˈdʒɛktɪd/
delicacies	美食	/ˈdɛlɪkəsiz/
dented	凹陷的	/ˈdɛntɪd/
preferring	更喜欢	/prɪˈfɜːrɪŋ/
proposing	提议	/prəˈpoʊzɪŋ/
protracted	拖延的	/prəˈtræktɪd/
pumped	充气的	/pʌmpt/
pumping	抽水	/ˈpʌmpɪŋ/
quirk	怪癖	/kwɜːrk/
rabies	狂犬病	/ˈreɪbiz/
racket	喧闹声	/ˈrækɪt/
realms	领域	/rɛlmz/
reaped	收割	/riːpt/
rebuffed	拒绝	/rɪˈbʌft/
reconnaissance	侦察	/ˌrɛkəˈnɪsəns/
recount	重新计算	/riˈkaʊnt/
redhot	非常热情的	/ˈrɛdˌhɑt/
reframing	重新构思	/riˈfreɪmɪŋ/
reinforcing	加强	/ˌriːɪnˈfɔːrsɪŋ/
relished	享受	/ˈrɛlɪʃt/
rental	租赁	/ˈrɛntəl/
repressing	压制	/rɪˈprɛsɪŋ/
resounding	响亮的	/rɪˈzaʊndɪŋ/
reverberating	回响	/rɪˈvɜːrbəˌreɪtɪŋ/
revolutionizing	革命化	/ˌrɛvəˈluːʃəˌnaɪzɪŋ/
riders	骑手	/ˈraɪdərz/
ridiculously	荒谬地	/rɪˈdɪkjələsli/
rivalries	竞争	/ˈraɪvəlriz/
sanctioned	批准	/ˈsæŋkʃənd/
sandwiches	三明治	/ˈsændwɪtʃɪz/
satisfactorily	令人满意地	/ˌsætɪsˈfæktərəli/
scapegoat	替罪羊	/ˈskeɪpˌɡoʊt/
scoundrels	恶棍	/ˈskaʊndrəlz/
screening	筛选	/ˈskriːnɪŋ/
secondhand	二手的	/ˈsɛkəndˌhænd/
seizes	抓住	/ˈsizɪz/
seminal	开创性的	/ˈsɛmɪnəl/
sentinels	哨兵	/ˈsɛntɪnəlz/
sequel	续集	/ˈsiːkwəl/
servile	奴性的	/ˈsɜːrvaɪl/
shatter	打碎	/ˈʃætər/
sirens	警报器	/ˈsaɪrənz/
skyrocketing	飞涨	/ˈskaɪˌrɑːkɪtɪŋ/
sleeps	睡觉	/sliːps/
sloth	懒散	/sloʊθ/
smuggling	走私	/ˈsmʌɡəlɪŋ/
soothed	安抚	/suːðd/
spans	跨度	/spænz/
spotless	一尘不染	/ˈspɑːtlɪs/
squared	平方	/skwɛrd/
stank	臭味	/stæŋk/
stead	稳定	/stɛd/
stickiness	黏性	/ˈstɪkɪnəs/
stoic	坚忍的	/ˈstoʊɪk/
straining	过滤	/ˈstreɪnɪŋ/
strangeness	奇怪	/ˈstreɪndʒnəs/
straws	吸管	/strɔːz/
stupefied	惊呆了	/ˈstuːpɪfaɪd/
subsist	生存	/səbˈsɪst/
sullen	闷闷不乐	/ˈsʌlən/
sumptuous	豪华	/ˈsʌmpʃuəs/
superb	极好的	/suːˈpɜːrb/
surest	最肯定的	/ˈʃʊrɪst/
surfaces	表面	/ˈsɜːrfɪsɪz/
suspects	嫌疑犯	/səˈspɛkts/
suspend	暂停	/səˈspɛnd/
tantalizing	诱人的	/ˈtæntəlaɪzɪŋ/
tempers	脾气	/ˈtɛmpərz/
tenets	原则	/ˈtɛnɪts/
thwart	阻挠	/θwɔːrt/
tick	滴答声	/tɪk/
ticks	蜱虫	/tɪks/
tinker	修补	/ˈtɪŋkər/
toiling	辛勤劳动	/ˈtɔɪlɪŋ/
toothless	无牙的	/ˈtuːθləs/
traumatic	创伤的	/trɔːˈmætɪk/
trimmed	修剪	/trɪmd/
trove	宝藏	/troʊv/
tub	浴缸	/tʌb/
tug	拖	/tʌɡ/
twoway	双向	/ˈtuːweɪ/
undergoing	经历	/ˌʌndərˈɡoʊɪŋ/
undetected	未被发现	/ˌʌndɪˈtɛktɪd/
unfailing	不变的	/ʌnˈfeɪlɪŋ/
unfolds	展开	/ʌnˈfoʊldz/
unison	一致	/ˈjuːnɪsən/
uniting	团结	/juːˈnaɪtɪŋ/
universality	普遍性	/ˌjuːnɪvərˈsælɪti/
unmasked	揭示	/ʌnˈmæskt/
unnamed	无名	/ʌnˈneɪmd/
unpalatable	不好吃的	/ʌnˈpælətəbl/
uselessly	无用地	/ˈjusləsli/
venerable	庄严的	/ˈvɛnərəbl/
wayward	任性的	/ˈweɪwərd/
wellintentioned	好心的	/wɛlɪnˈtɛnʃənd/
whimsical	异想天开的	/ˈwɪmzɪkəl/
withholding	保留	/wɪθˈhoʊldɪŋ/
woe	悲哀	/woʊ/
instructing	指导	/ɪnˈstrʌktɪŋ/
intrinsically	本质上	/ɪnˈtrɪnsɪkli/
irate	愤怒的	/ˈaɪreɪt/
ivy	常春藤	/ˈaɪvi/
jumbled	混乱的	/ˈdʒʌmbəld/
kisses	亲吻	/ˈkɪsɪz/
kitchens	厨房	/ˈkɪtʃɪnz/
knowingly	故意地	/ˈnoʊɪŋli/
licking	舔	/ˈlɪkɪŋ/
livelihood	生计	/ˈlaɪvlihʊd/
logistics	后勤	/ləˈdʒɪstɪks/
loomed	隐约出现	/luːmd/
loosening	松动	/ˈluːsənɪŋ/
lore	传说	/lɔːr/
lowly	卑微的	/ˈloʊli/
mariner	水手	/ˈmærɪnər/
marking	标记	/ˈmɑːrkɪŋ/
masterful	娴熟的	/ˈmæstərfəl/
meadows	草地	/ˈmɛdoʊz/
mechanically	机械地	/məˈkænɪkli/
melt	融化	/mɛlt/
memorized	记住	/ˈmɛməraɪzd/
metamorphosis	变形	/ˌmɛtəˈmɔːrfəsɪs/
minimized	最小化	/ˈmɪnɪmaɪzd/
misconception	误解	/ˌmɪskənˈsɛpʃən/
misplaced	放错地方的	/ˌmɪsˈpleɪst/
mocked	嘲笑	/mɑːkt/
multiplying	乘	/ˈmʌltɪplaɪɪŋ/
mutiny	叛乱	/ˈmjuːtɪni/
narrower	更窄的	/ˈnæroʊər/
nationality	国籍	/ˌnæʃəˈnæləti/
natures	性质	/ˈneɪtʃərz/
nightly	每晚	/ˈnaɪtli/
nuances	细微差别	/ˈnuːɑːnsɪz/
obscene	淫秽的	/əbˈsiːn/
opponent’s	对手的	/əˈpoʊnənts/
ordeal	折磨	/ɔrˈdiːl/
outlived	比...活得长	/aʊtˈlɪvd/
outnumber	比...多	/aʊtˈnʌmbər/
outweigh	超过	/aʊtˈweɪ/
overpower	压倒	/ˌoʊvərˈpaʊər/
overpowering	压倒性的	/ˌoʊvərˈpaʊərɪŋ/
panels	面板	/ˈpænəlz/
parrots	鹦鹉	/ˈpærəts/
partisans	党派	/ˈpɑːrtɪzənz/
pecking	啄	/ˈpɛkɪŋ/
pedantic	迂腐的	/pɪˈdæntɪk/
peeped	窥视	/piːpt/
perceives	察觉	/pərˈsiːvz/
pinch	捏	/pɪntʃ/
poisons	毒药	/ˈpɔɪzənz/
policing	警务	/ˈpoʊlɪsɪŋ/
possessive	所有格	/pəˈzɛsɪv/
deranged	疯狂的	/dɪˈreɪndʒd/
dessert	甜点	/dɪˈzɜːrt/
dictate	口述	/ˈdɪkteɪt/
dictating	口述	/ˈdɪkteɪtɪŋ/
dilapidated	破旧的	/daɪˈlæpɪdeɪtɪd/
disagreeing	不同意	/ˌdɪsəˈɡriːɪŋ/
disclosed	揭示	/dɪsˈkloʊzd/
disheartened	灰心	/dɪsˈhɑːrtnd/
dismal	阴郁的	/ˈdɪzməl/
dismissing	解雇	/dɪsˈmɪsɪŋ/
disobey	违抗	/ˌdɪsəˈbeɪ/
dispositions	性格	/ˌdɪspəˈzɪʃənz/
dissipated	消散	/ˈdɪsɪpeɪtɪd/
diversify	多样化	/daɪˈvɜːrsɪfaɪ/
divides	分割	/dɪˈvaɪdz/
drawback	缺点	/ˈdrɔːbæk/
drilling	钻孔	/ˈdrɪlɪŋ/
driver’s	司机的	/ˈdraɪvərz/
easygoing	随和的	/ˈiːziˌɡoʊɪŋ/
embark	着手	/ɪmˈbɑːrk/
embed	嵌入	/ɪmˈbɛd/
emblem	象征	/ˈɛmbləm/
embroiled	卷入	/ɪmˈbrɔɪld/
emily	艾米莉	/ˈɛməli/
emphasizes	强调	/ˈɛmfəˌsaɪzɪz/
empowerment	授权	/ɪmˈpaʊərmənt/
encompasses	包括	/ɪnˈkʌmpəsɪz/
enmity	敌意	/ˈɛnməti/
enormity	巨大	/ɪˈnɔːrməti/
enriching	丰富	/ɪnˈrɪtʃɪŋ/
escalated	升级	/ˈɛskəˌleɪtɪd/
establishments	机构	/ɪˈstæblɪʃmənts/
eulogy	颂词	/ˈjuːlədʒi/
euphoria	欣快	/juːˈfɔːriə/
experimented	实验	/ɪkˈspɛrəˌmɛntɪd/
facets	方面	/ˈfæsɪts/
fared	过得	/fɛərd/
fated	命中注定	/ˈfeɪtɪd/
fertilized	施肥	/ˈfɜːrtəˌlaɪzd/
firewood	柴火	/ˈfaɪərˌwʊd/
flurry	骚动	/ˈflɜːri/
forceful	有力的	/ˈfɔːrsfəl/
forties	四十年代	/ˈfɔːrtiz/
fours	四	/fɔːrz/
fragility	脆弱	/frəˈdʒɪləti/
frees	释放	/friːz/
freeway	高速公路	/ˈfriːweɪ/
frenchman	法国人	/ˈfrɛntʃmən/
frenzied	狂热的	/ˈfrɛnziːd/
freudian	弗洛伊德的	/ˈfrɔɪdiən/
friedrich	弗里德里希	/ˈfriːdrɪk/
fullblown	全面的	/ˈfʊlˌbloʊn/
glorification	美化	/ˌɡlɔːrɪfɪˈkeɪʃən/
gnawing	咬	/ˈnɔːɪŋ/
gorgeous	华丽的	/ˈɡɔːrdʒəs/
granite	花岗岩	/ˈɡrænɪt/
grumbling	抱怨	/ˈɡrʌmblɪŋ/
hatch	孵化	/hætʃ/
healed	治愈	/hild/
herb	草药	/hɜːrb/
hesitating	犹豫	/ˈhezɪteɪtɪŋ/
highheeled	高跟鞋	/ˌhaɪˈhiːld/
highpowered	高功率	/ˌhaɪˈpaʊərd/
him’	他的	/hɪm/
hitch	故障	/hɪtʃ/
horns	角	/hɔːrnz/
households	家庭	/ˈhaʊshoʊldz/
housewife	家庭主妇	/ˈhaʊsˌwaɪf/
humbly	谦逊地	/ˈhʌmbli/
idiots	白痴	/ˈɪdiəts/
imparted	传授	/ɪmˈpɑːrtɪd/
impede	阻碍	/ɪmˈpiːd/
imperfectly	不完美地	/ɪmˈpɜːrfɪktli/
impunity	免责	/ɪmˈpjuːnɪti/
in’	在	/ɪn/
incarnation	化身	/ˌɪnkɑrˈneɪʃən/
indefinable	不可定义的	/ˌɪndɪˈfaɪnəbl/
inflated	膨胀的	/ɪnˈfleɪtɪd/
ingratitude	忘恩负义	/ˌɪnˈɡrætɪˌtuːd/
innocently	无辜地	/ˈɪnəsəntli/
databases	数据库	/ˈdeɪtəˌbeɪsɪz/
guinea	几内亚	/ˈɡɪni/
nodes	节点	/noʊdz/
query	查询	/ˈkwɪri/
jobs’s	乔布斯的	/dʒɑbz/
sapiens	智人	/ˈseɪpiənz/
china’s	中国的	/ˈtʃaɪnəz/
taiwan	台湾	/ˈtaɪˌwɑn/
domesticated	驯化	/dəˈmɛstɪˌkeɪtɪd/
wozniak	沃兹尼亚克	/ˈwɑznɪˌæk/
apple’s	苹果的	/ˈæpəlz/
computing	计算	/kəmˈpjuːtɪŋ/
snapshot	快照	/ˈsnæpˌʃɑt/
queries	查询	/ˈkwɪriːz/
doesn't	不	/ˈdʌzənt/
he's	他是	/hiz/
can't	不能	/kænt/
that's	那是	/ðæts/
ipod	苹果	/ˈaɪˌpɑd/
partition	分区	/pɑrˈtɪʃn/
boo	嘘	/buː/
disney	迪士尼	/ˈdɪzni/
transistors	晶体管	/trænˈzɪstərz/
quadrant	象限	/ˈkwɑːdrənt/
paradigm	范例	/ˈpærədaɪm/
eurasian	欧亚的	/jʊˈreɪʒən/
aversion	厌恶	/əˈvɜːrʒən/
catherine	凯瑟琳	/ˈkæθərɪn/
delays	延迟	/dɪˈleɪz/
didn't	没有	/ˈdɪdnt/
snowball	雪球	/ˈsnoʊbɔːl/
southeast	东南	/ˌsaʊθˈiːst/
heuristic	启发式	/hjʊˈrɪstɪk/
atkinson	阿特金森	/ˈætkɪnsən/
apache	阿帕奇	/əˈpætʃi/
tate	泰特	/teɪt/
mammals	哺乳动物	/ˈmæməlz/
there's	有	/ðerz/
they're	他们是	/ðer/
germs	细菌	/dʒɜːrmz/
probabilities	概率	/ˌprɑːbəˈbɪlətiz/
kahneman	卡尼曼	/ˈkɑːnəmən/
tribes	部落	/traɪbz/
transistor	晶体管	/trænˈzɪstər/
neville	内维尔	/ˈnɛvɪl/
dylan	迪伦	/ˈdaɪlən/
gardiner	加德纳	/ˈɡɑːrdɪnər/
partitioned	分区	/pɑrˈtɪʃənd/
julia	朱莉娅	/ˈdʒuːliə/
locket	小盒	/ˈlɑːkɪt/
'i	我	/aɪ/
won't	不会	/woʊnt/
processor	处理器	/ˈprɑːsesər/
proactive	主动的	/proʊˈæktɪv/
diffusion	扩散	/dɪˈfjuːʒn/
i've	我已经	/aɪv/
intuitions	直觉	/ˌɪntuˈɪʃənz/
isn't	不是	/ˈɪznt/
barley	大麦	/ˈbɑːrli/
logs	日志	/lɔːɡz/
petra	佩特拉	/ˈpiːtrə/
windmill	风车	/ˈwɪndmɪl/
glossary	词汇表	/ˈɡlɑːsəri/
folks	人们	/foʊks/
invisibility	隐形	/ˌɪnvɪzəˈbɪləti/
cpu	中央处理器	/ˌsiːpiːˈjuː/
wouldn't	不会	/ˈwʊdnt/
synergy	协同作用	/ˈsɪnərdʒi/
beijing	北京	/ˌbeɪˈdʒɪŋ/
cunningham	坎宁安	/ˈkʌnɪŋhæm/
xerox	施乐	/ˈzɪərɒks/
oceania	大洋洲	/ˌoʊʃiˈæniə/
